iter	RMSE
0	1712637.409
1	1640065.11
2	1568482.07
3	1504075.61
4	1442533.903
5	1384936.289
6	1337825.48
7	1297567.598
8	1255945.126
9	1219818.418
10	1185681.665
11	1154801.941
12	1124709.083
13	1104636.406
14	1082322.099
15	1059655.32
16	1042270.783
17	1023670.983
18	1008273.125
19	994250.4907
20	981872.3577
21	970341.4176
22	958501.6565
23	946548.9992
24	933209.4651
25	922743.2103
26	911122.2044
27	897668.6208
28	890222.9095
29	882398.53
30	873112.8725
31	867151.0275
32	860886.6349
33	852852.1425
34	846661.6808
35	843270.6135
36	837701.018
37	833360.304
38	827773.1777
39	825805.6933
40	821016.9559
41	815923.7689
42	811908.3832
43	810697.7591
44	803402.6095
45	800590.2927
46	797929.287
47	793296.3485
48	791115.3956
49	790744.9602
50	790268.4411
51	786561.9948
52	782142.735
53	779224.7948
54	776889.1764
55	774499.1957
56	771254.3507
57	766590.2916
58	764249.4125
59	758468.623
60	753963.2212
61	751629.9459
62	749601.7565
63	743868.8911
64	741058.6218
65	738516.0841
66	735371.1342
67	728745.1752
68	726534.0267
69	726037.0874
70	725638.2263
71	724899.38
72	724201.0504
73	723599.0581
74	723304.5804
75	722367.5889
76	721060.8104
77	720532.5193
78	718818.2602
79	718404.9205
80	716907.9406
81	714765.7315
82	713828.9157
83	710139.1815
84	706337.7477
85	703032.0628
86	702617.868
87	702293.1323
88	701999.0175
89	698880.6536
90	698560.2333
91	694976.9039
92	688440.6836
93	687048.7107
94	681309.6033
95	681076.8796
96	678876.3866
97	678661.7037
98	672027.5648
99	669449.2024
