iter	Passed	Remaining
0	3	381
1	7	365
2	10	329
3	13	328
4	30	573
5	33	532
6	37	502
7	41	477
8	44	453
9	48	437
10	52	427
11	56	414
12	60	402
13	64	394
14	68	388
15	72	381
16	76	371
17	80	368
18	84	361
19	88	353
20	91	344
21	95	337
22	98	329
23	102	323
24	105	316
25	108	310
26	112	303
27	116	298
28	119	293
29	123	288
30	127	282
31	130	278
32	134	273
33	138	269
34	142	264
35	145	259
36	149	254
37	152	248
38	155	243
39	159	238
40	162	233
41	165	228
42	169	224
43	171	218
44	175	214
45	178	209
46	181	204
47	184	200
48	188	196
49	189	189
50	191	184
51	194	179
52	198	175
53	201	171
54	205	168
55	209	164
56	213	161
57	216	157
58	220	153
59	224	149
60	227	145
61	231	141
62	234	137
63	237	133
64	241	130
65	245	126
66	249	122
67	252	118
68	255	114
69	257	110
70	259	106
71	262	102
72	266	98
73	271	95
74	272	90
75	275	87
76	293	87
77	297	83
78	301	80
79	304	76
80	308	72
81	311	68
82	315	64
83	318	60
84	322	56
85	326	53
86	330	49
87	333	45
88	337	41
89	341	37
90	344	34
91	348	30
92	351	26
93	354	22
94	358	18
95	361	15
96	366	11
97	370	7
98	374	3
99	378	0
